話	talk	wa	hana(su), hanashi	JDIC_Audio_All/はなし - 話.mp3	ワ	はなす,はなし	tale; talk
寺	Buddhist temple	ji	tera	JDIC_Audio_All/てら - 寺.mp3	ジ	てら	Buddhist temple
時	time	ji	toki	JDIC_Audio_All/とき - 時.mp3	ジ	とき,-どき	time; hour
思	think	shi	omo(u)	JDIC_Audio_All/おもい - 思い.mp3	シ	おもう,おもえらく	think
止	stop	shi	to(maru), to(meru)	JDIC_Audio_All/やめる - 止める.mp3	シ	とまる,-どまり	stop; halt
紙	paper	shi	kami	JDIC_Audio_All/かみ - 紙.mp3	シ	かみ	paper
姉	elder sister	shi	ane	JDIC_Audio_All/あね - 姉.mp3	シ	あね,はは	elder sister
市	market	shi	ichi	JDIC_Audio_All/いち - 市.mp3	シ	いち	market; city; town
算	calculate	san	soro	sounds/common/san.wav	サン	そろ	calculate; divining; number; abacus; probability
細	narrow	sai	hoso(i), hoso(ru), koma(ka), koma(kai)	JDIC_Audio_All/ほそる - 細る.mp3	サイ	ほそい,ほそる	dainty; get thin; taper; slender; narrow
作	make	saku, sa	tsuku(ru)	JDIC_Audio_All/さく - 作.mp3	サク,サ	つくる,つくり	make; production; prepare; build
才	genius	sai	sai	JDIC_Audio_All/さい - 才.mp3	サイ	サイ	genius; years old; cubic shaku
行	going	koo, gyoo, an	i(ku), yu(ku), okona(u)	JDIC_Audio_All/ぎょう - 行.mp3	コウ,ギョウ	いく,ゆく	going; journey
高	tall	koo	taka(i), taka, taka(maru), taka(meru)	JDIC_Audio_All/たか - 高.mp3	コウ	たかい,たか	tall; high; expensive
合	join	goo, gaQ, kaQ 	a(u), a(wasu), a(waseru)	JDIC_Audio_All/ごう - 合.mp3	ゴウ,ガッ	あう,-あう	fit; suit; join; 0.1
国	country	koku	kuni	JDIC_Audio_All/くに - 国.mp3	コク	くに	country
黒	black	koku	kuro, kuro(i)	JDIC_Audio_All/くろ - 黒.mp3	コク	くろ,くろずむ	black
今	now	kon, kin	ima	JDIC_Audio_All/いま - 今.mp3	コン,キン	いま	now
考	think over	koo	kanga(eru)	JDIC_Audio_All/かんがえ - 考え.mp3	コウ	かんがえる,かんがえ	consider; think over
工	construction	koo, ku	koo	JDIC_Audio_All/たくみ - 工.mp3	コウ,ク	コウ,ク	craft; construction; katakana e radical (no. 48)
広	wide	koo	hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)	JDIC_Audio_All/ひろい - 広い.mp3	コウ	ひろい,ひろまる	wide; broad; spacious
後	behind	go, koo	nochi, ushi(ro), ato, oku(reru)	JDIC_Audio_All/うしろ - 後.mp3	ゴ,コウ	のち,うしろ	behind; back; later
語	word	go	kata(ru), kata(rau)	JDIC_Audio_All/かたり - 語.mp3	ゴ	かたる,かたらう	word; speech; language
交	mixing	koo	maji(waru), maji(eru), maji(ru), ma(zaru), ma(zeru), ka(u), ka(wasu)	JDIC_Audio_All/まじる - 交る.mp3	コウ	まじわる,まじえる	mingle; mixing; association; coming  going
光	light	koo	hika(ru), hikari	JDIC_Audio_All/ひかり - 光.mp3	コウ	ひかる,ひかり	ray; light
